Date,Open,High,Low,Close,Adj Close,Volume
2020/4/7,283.5,284,280.5,283,276.724884,48787346
2020/4/8,285,285.5,283,285,278.680511,37912826
2020/4/9,287.5,288,282.5,283,276.724884,27620430
2020/4/10,280,282,279,279.5,273.30246,27252858
2020/4/13,278.5,281.5,278.5,278.5,272.324646,22196596
2020/4/14,281,285.5,280,285,278.680511,48809688
2020/4/15,287,288.5,286,287.5,281.125092,55216434
2020/4/16,283,288.5,283,286.5,280.147278,47815280
2020/4/17,303.5,308.5,300.5,306.5,299.703796,116368201
2020/4/20,308,309,302.5,304,297.259216,41381669
2020/4/21,300.5,301.5,293.5,295,288.458801,61479357
2020/4/22,294.5,295,290.5,294,287.480957,42192580
2020/4/23,300,300,294,295.5,288.947723,39474478
2020/4/24,295.5,297,294,294,287.480957,26008090
2020/4/27,298,298.5,296,298,291.392273,38493406
2020/4/28,298.5,298.5,294.5,296.5,289.925507,37395165
2020/4/29,299,301.5,298,299,292.370087,44059301
2020/4/30,302,305,301.5,304.5,297.748169,55126085
2020/5/4,294.5,296.5,294,295,288.458801,71581861
2020/5/5,296.5,298,295,295.5,288.947723,23547405
2020/5/6,294.5,296,292.5,296,289.436615,34240479
2020/5/7,294.5,299,294.5,297.5,290.90332,27621198
2020/5/8,300,300,296,297.5,290.90332,32295893
2020/5/11,300,301.5,298.5,301,294.325745,28727019
2020/5/12,297.5,298.5,295,295,288.458801,52089788
2020/5/13,293,297,292.5,297,290.414429,26156418
2020/5/14,293,295,292.5,293,286.503143,34315948
2020/5/15,297.5,298.5,294.5,298,291.392273,42494804
2020/5/18,291,293.5,290,290,283.569672,84986065
2020/5/19,294,294,291.5,291.5,285.036377,51250214
2020/5/20,293,294,291,294,287.480957,32677994
2020/5/21,296,298,295,297.5,290.90332,30997468
2020/5/22,294.5,295,291,292,285.52533,40192923
2020/5/25,290.5,293,288.5,292,285.52533,26803223
2020/5/26,295,297.5,293.5,295.5,288.947723,33856481
2020/5/27,297,298,295.5,296.5,289.925507,23375959
2020/5/28,298.5,298.5,293,294,287.480957,28444568
2020/5/29,292,292.5,290,292,285.52533,79774181
2020/6/1,294,296.5,293.5,295.5,288.947723,35811214
2020/6/2,296,297.5,296,296.5,289.925507,24771587
2020/6/3,300,301,298,301,294.325745,65176337
2020/6/4,305,306,304,306,299.214905,46572451
2020/6/5,308.5,312,308,311.5,304.592926,42981262
2020/6/8,316,319,315,318,310.948792,50302921
2020/6/9,316.5,319,314,319,311.926605,36417082
2020/6/10,319,324,318,322.5,315.34903,39984259
2020/6/11,325.5,327,318.5,320.5,313.393372,50104255
2020/6/12,313,317.5,312.5,316,308.993134,45992918
2020/6/15,316,317.5,308.5,309.5,302.637268,51032404
2020/6/16,317,317,314,315,308.01532,36608216
2020/6/17,316.5,317,313.5,315,308.01532,34522968
2020/6/18,314.5,315,313,314.5,309.986633,29044474
2020/6/19,314,314.5,312,314.5,309.986633,48130280
2020/6/22,314.5,316.5,312,312,307.522522,37374616
2020/6/23,316,316.5,312.5,315,310.479462,41300084
2020/6/24,319,320,316,317.5,312.943573,54147024
2020/6/29,314,315,310,312,307.522522,56580892
2020/6/30,313.5,314,311,313,308.508148,48991860
2020/7/1,315,318,314,317.5,312.943573,29532342
2020/7/2,319,322,318,322,317.378967,34526178
2020/7/3,327,330.5,326.5,329.5,324.771362,53341987
2020/7/6,332.5,338,332,338,333.149384,57256220
2020/7/7,343.5,346,338,338.5,333.642181,59046323
2020/7/8,337.5,342.5,337.5,341,336.106323,30720218
2020/7/9,346,347,343,345,340.04892,35522376
2020/7/10,352.5,353,345.5,348.5,343.498688,60902108
2020/7/13,351,354.5,350.5,354.5,349.412567,48069523
2020/7/14,355,364,354.5,363.5,358.283417,61764150
2020/7/15,366,370,361,363,357.790588,73438362
2020/7/16,359,361,353.5,357.5,352.369507,68220512
2020/7/17,361,369,360,367,361.733185,65727485
2020/7/20,370,370,362.5,366,360.747559,42769238
2020/7/21,372.5,387,371.5,383,377.503571,64219128
2020/7/22,381,386,379,384,378.489258,43759670
2020/7/23,382,383,379,381.5,376.025116,45209282
2020/7/24,390,395,382,386,380.46051,86682734
2020/7/27,420.5,424.5,416.5,424.5,418.40802,99333798
2020/7/28,464,466.5,428.5,435,428.757324,166307746
2020/7/29,428,431.5,419.5,422,415.943878,85663166
2020/7/30,436.5,441,428.5,434,427.771698,69293949
2020/7/31,426,432,425.5,425.5,419.393677,49897674
2020/8/3,420.5,424,415,416,410.029968,76429571
2020/8/4,421.5,425.5,418.5,425.5,419.393677,41223445
2020/8/5,430.5,433.5,426,429,422.843445,47223834
2020/8/6,437.5,438,431,435,428.757324,41029627
2020/8/7,433.5,434,428,433,426.786041,36589460
2020/8/10,427.5,437.5,427.5,435.5,429.250153,36067500
2020/8/11,432,435,429,429,422.843445,34545313
2020/8/12,422,423.5,419,419,412.986938,52143474
2020/8/13,428,429,424.5,429,422.843445,44352335
2020/8/14,424,428,423,427,420.872131,23419955
2020/8/17,427,435,425.5,435,428.757324,34137731
2020/8/18,440,440.5,432,433,426.786041,41643160
